2026-05-24 03:02:59,826 INFO [Ray]                 Book.java:560  | 5 sheets in D:\Program\Python\Piano\Ray.pdf
2026-05-24 03:02:59,943 INFO []                 Book.java:2565 | Stored /book.xml
2026-05-24 03:02:59,945 INFO []                 Book.java:2525 | Book stored as D:\Program\Python\Piano\Ray_Audiveris\Ray.omr
2026-05-24 03:02:59,948 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1#2#3#4#5]
2026-05-24 03:02:59,950 INFO [Ray#1]       StepMonitoring.java:98   | LOAD
2026-05-24 03:03:00,321 INFO [Ray#1]            SheetStub.java:1278 | Loaded image #1 2479x3508 from D:\Program\Python\Piano\Ray.pdf
2026-05-24 03:03:00,324 INFO [Ray#1]       StepMonitoring.java:98   | BINARY
2026-05-24 03:03:00,665 INFO [Ray#1]       StepMonitoring.java:98   | SCALE
2026-05-24 03:03:00,690 INFO [Ray#1]         ScaleBuilder.java:255  | Beam  guessed height: 13 -- mid of [6..20]
2026-05-24 03:03:00,691 INFO [Ray#1]         ScaleBuilder.java:271  | Beam measured height: 10 -- 0.29 of [6..20] range at 385% of needed quorum
2026-05-24 03:03:00,691 INFO [Ray#1]         ScaleBuilder.java:401  | Normalized black jitter: 0.00 %
2026-05-24 03:03:00,691 INFO [Ray#1]            ScaleStep.java:65   | Scale{ interline(20,21,21) line(3,3,3) beam(10)}
2026-05-24 03:03:00,693 INFO [Ray#1]       StepMonitoring.java:98   | GRID
2026-05-24 03:03:01,001 INFO [Ray#1]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-05-24 03:03:01,039 INFO [Ray#1]    ClustersRetriever.java:326  | Retrieved raw line clusters: 8 of sizes [5] with interline(20,21,21)
2026-05-24 03:03:01,176 INFO [Ray#1]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8]
2026-05-24 03:03:01,371 INFO [Ray#1]        SystemManager.java:134  | Indentation detected for system #1
2026-05-24 03:03:01,372 INFO [Ray#1]        SystemManager.java:779  | 1 part along 4 systems
2026-05-24 03:03:01,373 INFO [Ray#1]                 Book.java:543  | Created scores: [{Score 1}]
2026-05-24 03:03:01,374 INFO [Ray#1]       StepMonitoring.java:98   | HEADERS
2026-05-24 03:03:02,215 INFO [Ray#1]       StepMonitoring.java:98   | STEM_SEEDS
2026-05-24 03:03:02,247 INFO [Ray#1]        StemSeedsStep.java:86   | stem(2 max:3)
2026-05-24 03:03:02,305 INFO [Ray#1]       StepMonitoring.java:98   | BEAMS
2026-05-24 03:03:04,727 INFO [Ray#1]       StepMonitoring.java:98   | LEDGERS
2026-05-24 03:03:04,955 INFO [Ray#1]       StepMonitoring.java:98   | HEADS
2026-05-24 03:03:08,094 INFO [Ray#1]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:-0.5,R:-0.6]}
2026-05-24 03:03:08,095 INFO [Ray#1]       StepMonitoring.java:98   | STEMS
2026-05-24 03:03:08,580 INFO [Ray#1]       StepMonitoring.java:98   | REDUCTION
2026-05-24 03:03:08,696 INFO [Ray#1]        ReductionStep.java:105  | Stems free length median value: 73 pixels, 3.5 interlines
2026-05-24 03:03:08,705 INFO [Ray#1]       StepMonitoring.java:98   | CUE_BEAMS
2026-05-24 03:03:08,706 INFO [Ray#1]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2026-05-24 03:03:08,706 INFO [Ray#1]       StepMonitoring.java:98   | TEXTS
2026-05-24 03:03:08,823 WARN [Ray#1]         TesseractOCR.java:341  | Language 'eng' is not supported
2026-05-24 03:03:08,823 INFO [Ray#1]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2026-05-24 03:03:08,835 INFO [Ray#1]       StepMonitoring.java:98   | MEASURES
2026-05-24 03:03:08,843 INFO [Ray#1]                 Page.java:307  | 12 raw measures: [3 in system#1, 3 in system#2, 3 in system#3, 3 in system#4]
2026-05-24 03:03:08,844 INFO [Ray#1]       StepMonitoring.java:98   | CHORDS
2026-05-24 03:03:08,861 INFO [Ray#1]       StepMonitoring.java:98   | CURVES
2026-05-24 03:03:09,576 INFO [Ray#1]         SlursBuilder.java:240  | Slurs: 12
2026-05-24 03:03:09,598 INFO [Ray#1]      SegmentsBuilder.java:155  | Segments: 6
2026-05-24 03:03:09,615 INFO [Ray#1]       StepMonitoring.java:98   | SYMBOLS
2026-05-24 03:03:10,215 INFO [Ray#1]       StepMonitoring.java:98   | LINKS
2026-05-24 03:03:10,240 INFO [Ray#1]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#5191{(0.329) staff:6 OTTAVA BASSA} at java.awt.Point[x=202,y=2776]
2026-05-24 03:03:10,252 INFO [Ray#1]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#5200{(0.329) staff:7 OTTAVA ALTA} at java.awt.Point[x=202,y=2776]
2026-05-24 03:03:10,262 INFO [Ray#1]       StepMonitoring.java:98   | RHYTHMS
2026-05-24 03:03:10,334 INFO [Ray#1]       StepMonitoring.java:98   | PAGE
2026-05-24 03:03:10,342 INFO [Ray#1]                 Book.java:2584 | Book{Ray} storing
2026-05-24 03:03:10,387 INFO [Ray#1]                 Book.java:2565 | Stored /book.xml
2026-05-24 03:03:10,489 INFO [Ray#1]           DataHolder.java:348  | Stored /sheet#1/BINARY.png
2026-05-24 03:03:10,978 INFO [Ray#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-05-24 03:03:10,978 INFO [Ray#1]                 Book.java:2525 | Book stored as D:\Program\Python\Piano\Ray_Audiveris\Ray.omr
2026-05-24 03:03:10,980 INFO [Ray#1]            SheetStub.java:1655 | Sheet#1 disposed
2026-05-24 03:03:11,013 INFO [Ray#1]                 Book.java:2050 | End of Stub#1
2026-05-24 03:03:11,013 INFO [Ray#2]       StepMonitoring.java:98   | LOAD
2026-05-24 03:03:11,078 INFO [Ray#2]            SheetStub.java:1278 | Loaded image #2 2479x3508 from D:\Program\Python\Piano\Ray.pdf
2026-05-24 03:03:11,079 INFO [Ray#2]       StepMonitoring.java:98   | BINARY
2026-05-24 03:03:11,370 INFO [Ray#2]       StepMonitoring.java:98   | SCALE
2026-05-24 03:03:11,390 INFO [Ray#2]         ScaleBuilder.java:255  | Beam  guessed height: 13 -- mid of [6..20]
2026-05-24 03:03:11,390 INFO [Ray#2]         ScaleBuilder.java:271  | Beam measured height: 10 -- 0.29 of [6..20] range at 333% of needed quorum
2026-05-24 03:03:11,391 INFO [Ray#2]         ScaleBuilder.java:401  | Normalized black jitter: 4.76 %
2026-05-24 03:03:11,391 INFO [Ray#2]            ScaleStep.java:65   | Scale{ interline(20,21,21) line(2,3,3) beam(10)}
2026-05-24 03:03:11,392 INFO [Ray#2]       StepMonitoring.java:98   | GRID
2026-05-24 03:03:11,500 INFO [Ray#2]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-05-24 03:03:11,513 INFO [Ray#2]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(20,21,21)
2026-05-24 03:03:11,606 INFO [Ray#2]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2026-05-24 03:03:11,715 INFO [Ray#2]        SystemManager.java:779  | 1 part along 5 systems
2026-05-24 03:03:11,715 INFO [Ray#2]       StepMonitoring.java:98   | HEADERS
2026-05-24 03:03:12,072 INFO [Ray#2]       StepMonitoring.java:98   | STEM_SEEDS
2026-05-24 03:03:12,098 INFO [Ray#2]        StemSeedsStep.java:86   | stem(2 max:3)
2026-05-24 03:03:12,106 INFO [Ray#2]       StepMonitoring.java:98   | BEAMS
2026-05-24 03:03:14,271 INFO [Ray#2]       StepMonitoring.java:98   | LEDGERS
2026-05-24 03:03:14,333 INFO [Ray#2]       StepMonitoring.java:98   | HEADS
2026-05-24 03:03:18,252 INFO [Ray#2]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_VOID[L:-0.4] NOTEHEAD_BLACK[L:-0.5,R:-0.5]}
2026-05-24 03:03:18,252 INFO [Ray#2]       StepMonitoring.java:98   | STEMS
2026-05-24 03:03:18,565 INFO [Ray#2]       StepMonitoring.java:98   | REDUCTION
2026-05-24 03:03:18,623 INFO [Ray#2]        ReductionStep.java:105  | Stems free length median value: 64 pixels, 3.0 interlines
2026-05-24 03:03:18,626 INFO [Ray#2]       StepMonitoring.java:98   | CUE_BEAMS
2026-05-24 03:03:18,626 INFO [Ray#2]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2026-05-24 03:03:18,626 INFO [Ray#2]       StepMonitoring.java:98   | TEXTS
2026-05-24 03:03:18,706 WARN [Ray#2]         TesseractOCR.java:341  | Language 'eng' is not supported
2026-05-24 03:03:18,707 INFO [Ray#2]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2026-05-24 03:03:18,709 INFO [Ray#2]       StepMonitoring.java:98   | MEASURES
