2026-05-24 02:50:01,209 INFO [Ray]                 Book.java:560  | 5 sheets in D:\Program\Python\Piano\Ray.pdf
2026-05-24 02:50:13,446 INFO [Ray#2]         ScaleBuilder.java:271  | Beam measured height: 10 -- 0.29 of [6..20] range at 333% of needed quorum
2026-05-24 02:50:13,446 INFO [Ray#2]         ScaleBuilder.java:401  | Normalized black jitter: 4.76 %
2026-05-24 02:50:13,446 INFO [Ray#2]            ScaleStep.java:65   | Scale{ interline(20,21,21) line(2,3,3) beam(10)}
2026-05-24 02:50:13,447 INFO [Ray#2]       StepMonitoring.java:98   | GRID
2026-05-24 02:50:13,579 INFO [Ray#2]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-05-24 02:50:13,594 INFO [Ray#2]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(20,21,21)
2026-05-24 02:50:13,737 INFO [Ray#2]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2026-05-24 02:50:13,829 INFO [Ray#2]        SystemManager.java:779  | 1 part along 5 systems
2026-05-24 02:50:13,830 INFO [Ray#2]       StepMonitoring.java:98   | HEADERS
2026-05-24 02:50:14,182 INFO [Ray#2]       StepMonitoring.java:98   | STEM_SEEDS
2026-05-24 02:50:14,207 INFO [Ray#2]        StemSeedsStep.java:86   | stem(2 max:3)
2026-05-24 02:50:14,214 INFO [Ray#2]       StepMonitoring.java:98   | BEAMS
2026-05-24 02:50:16,460 INFO [Ray#2]       StepMonitoring.java:98   | LEDGERS
2026-05-24 02:50:16,566 INFO [Ray#2]       StepMonitoring.java:98   | HEADS
2026-05-24 02:50:20,553 INFO [Ray#2]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_VOID[L:-0.4] NOTEHEAD_BLACK[L:-0.5,R:-0.5]}
2026-05-24 02:50:20,554 INFO [Ray#2]       StepMonitoring.java:98   | STEMS
2026-05-24 02:50:20,899 INFO [Ray#2]       StepMonitoring.java:98   | REDUCTION
2026-05-24 02:50:20,975 INFO [Ray#2]        ReductionStep.java:105  | Stems free length median value: 64 pixels, 3.0 interlines
2026-05-24 02:50:20,979 INFO [Ray#2]       StepMonitoring.java:98   | CUE_BEAMS
2026-05-24 02:50:20,979 INFO [Ray#2]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2026-05-24 02:50:20,979 INFO [Ray#2]       StepMonitoring.java:98   | TEXTS
2026-05-24 02:50:21,060 WARN [Ray#2]         TesseractOCR.java:341  | Language 'eng' is not supported
2026-05-24 02:50:21,062 INFO [Ray#2]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2026-05-24 02:50:21,063 INFO [Ray#2]       StepMonitoring.java:98   | MEASURES
2026-05-24 02:50:21,064 INFO [Ray#2]                 Page.java:307  | 15 raw measures: [3 in system#1, 3 in system#2, 3 in system#3, 3 in system#4, 3 in system#5]
2026-05-24 02:50:21,064 INFO [Ray#2]       StepMonitoring.java:98   | CHORDS
2026-05-24 02:50:21,069 INFO [Ray#2]       StepMonitoring.java:98   | CURVES
2026-05-24 02:50:21,613 INFO [Ray#2]         SlursBuilder.java:240  | Slurs: 22
2026-05-24 02:50:21,625 INFO [Ray#2]      SegmentsBuilder.java:155  | Segments: 10
2026-05-24 02:50:21,630 INFO [Ray#2]       StepMonitoring.java:98   | SYMBOLS
2026-05-24 02:50:22,077 INFO [Ray#2]       StepMonitoring.java:98   | LINKS
2026-05-24 02:50:22,078 INFO [Ray#2]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#5419{(0.134) staff:1 QUINDICESIMA ALTA} at java.awt.Point[x=194,y=370]
2026-05-24 02:50:22,080 INFO [Ray#2]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#5425{(0.524) staff:2 QUINDICESIMA BASSA} at java.awt.Point[x=195,y=992]
2026-05-24 02:50:22,089 INFO [Ray#2]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#5453{(0.524) staff:3 QUINDICESIMA ALTA} at java.awt.Point[x=195,y=992]
2026-05-24 02:50:22,100 INFO [Ray#2]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#5481{(0.711) staff:6 VENTIDUESIMA BASSA} at java.awt.Point[x=194,y=2237]
2026-05-24 02:50:22,110 INFO [Ray#2]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#5498{(0.711) staff:7 VENTIDUESIMA ALTA} at java.awt.Point[x=194,y=2237]
2026-05-24 02:50:22,129 INFO [Ray#2]       StepMonitoring.java:98   | RHYTHMS
2026-05-24 02:50:22,129 INFO [Ray#2]           PageRhythm.java:199  | {Page#2.1} Time value reused from sheet#1
2026-05-24 02:50:22,176 INFO [Ray#2]       StepMonitoring.java:98   | PAGE
2026-05-24 02:50:22,179 INFO [Ray#2]                 Book.java:2584 | Book{Ray} storing
2026-05-24 02:50:22,235 INFO [Ray#2]                 Book.java:2565 | Stored /book.xml
2026-05-24 02:50:22,284 INFO [Ray#2]           DataHolder.java:348  | Stored /sheet#2/BINARY.png
2026-05-24 02:50:22,610 INFO [Ray#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-05-24 02:50:22,610 INFO [Ray#2]                 Book.java:2525 | Book stored as D:\Program\Python\Piano\Ray\Ray.omr
2026-05-24 02:50:22,615 INFO [Ray#2]            SheetStub.java:1655 | Sheet#2 disposed
2026-05-24 02:50:22,642 INFO [Ray#2]                 Book.java:2050 | End of Stub#2
2026-05-24 02:50:22,643 INFO [Ray#3]       StepMonitoring.java:98   | LOAD
2026-05-24 02:50:22,890 INFO [Ray#3]            SheetStub.java:1278 | Loaded image #3 2479x3508 from D:\Program\Python\Piano\Ray.pdf
2026-05-24 02:50:22,891 INFO [Ray#3]       StepMonitoring.java:98   | BINARY
2026-05-24 02:50:23,232 INFO [Ray#3]       StepMonitoring.java:98   | SCALE
2026-05-24 02:50:23,235 INFO [Ray#3]         ScaleBuilder.java:255  | Beam  guessed height: 13 -- mid of [6..20]
2026-05-24 02:50:23,236 INFO [Ray#3]         ScaleBuilder.java:271  | Beam measured height: 10 -- 0.29 of [6..20] range at 439% of needed quorum
