2026-05-24 03:42:00,616 INFO [Remember]                 Book.java:560  | 9 sheets in D:\Program\Python\Piano\Remember.pdf
2026-05-24 03:42:00,726 INFO []                 Book.java:2565 | Stored /book.xml
2026-05-24 03:42:00,726 INFO []                 Book.java:2525 | Book stored as D:\Program\Python\Piano\Remember_Audiveris\Remember.omr
2026-05-24 03:42:00,729 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1#2#3#4#5#6#7#8#9]
2026-05-24 03:42:00,730 INFO [Remember#1]       StepMonitoring.java:98   | LOAD
2026-05-24 03:42:01,040 INFO [Remember#1]            SheetStub.java:1278 | Loaded image #1 2479x3508 from D:\Program\Python\Piano\Remember.pdf
2026-05-24 03:42:01,042 INFO [Remember#1]       StepMonitoring.java:98   | BINARY
2026-05-24 03:42:01,300 INFO [Remember#1]       StepMonitoring.java:98   | SCALE
2026-05-24 03:42:01,315 INFO [Remember#1]         ScaleBuilder.java:255  | Beam  guessed height: 11 -- mid of [5..18]
2026-05-24 03:42:01,316 INFO [Remember#1]         ScaleBuilder.java:271  | Beam measured height: 10 -- 0.38 of [5..18] range at 426% of needed quorum
2026-05-24 03:42:01,316 INFO [Remember#1]         ScaleBuilder.java:401  | Normalized black jitter: 5.26 %
2026-05-24 03:42:01,316 INFO [Remember#1]            ScaleStep.java:65   | Scale{ interline(19,19,20) line(2,2,3) beam(10)}
2026-05-24 03:42:01,316 INFO [Remember#1]       StepMonitoring.java:98   | GRID
2026-05-24 03:42:01,546 INFO [Remember#1]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-05-24 03:42:01,578 INFO [Remember#1]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(19,19,20)
2026-05-24 03:42:01,688 INFO [Remember#1]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2026-05-24 03:42:01,841 INFO [Remember#1]        SystemManager.java:134  | Indentation detected for system #1
2026-05-24 03:42:01,843 INFO [Remember#1]        SystemManager.java:779  | 1 part along 5 systems
2026-05-24 03:42:01,844 INFO [Remember#1]                 Book.java:543  | Created scores: [{Score 1}]
2026-05-24 03:42:01,844 INFO [Remember#1]       StepMonitoring.java:98   | HEADERS
2026-05-24 03:42:02,338 INFO [Remember#1]       StepMonitoring.java:98   | STEM_SEEDS
2026-05-24 03:42:02,367 INFO [Remember#1]        StemSeedsStep.java:86   | stem(2 max:3)
2026-05-24 03:42:02,401 INFO [Remember#1]       StepMonitoring.java:98   | BEAMS
2026-05-24 03:42:04,341 INFO [Remember#1]       StepMonitoring.java:98   | LEDGERS
2026-05-24 03:42:04,522 INFO [Remember#1]       StepMonitoring.java:98   | HEADS
2026-05-24 03:42:07,805 INFO [Remember#1]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:-0.6,R:-0.5]}
2026-05-24 03:42:07,806 INFO [Remember#1]       StepMonitoring.java:98   | STEMS
2026-05-24 03:42:08,227 INFO [Remember#1]       StepMonitoring.java:98   | REDUCTION
2026-05-24 03:42:08,350 INFO [Remember#1]        ReductionStep.java:105  | Stems free length median value: 65 pixels, 3.4 interlines
2026-05-24 03:42:08,354 INFO [Remember#1]       StepMonitoring.java:98   | CUE_BEAMS
2026-05-24 03:42:08,355 INFO [Remember#1]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2026-05-24 03:42:08,355 INFO [Remember#1]       StepMonitoring.java:98   | TEXTS
2026-05-24 03:42:08,455 WARN [Remember#1]         TesseractOCR.java:341  | Language 'eng' is not supported
2026-05-24 03:42:08,455 INFO [Remember#1]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2026-05-24 03:42:08,460 INFO [Remember#1]       StepMonitoring.java:98   | MEASURES
2026-05-24 03:42:08,464 INFO [Remember#1]                 Page.java:307  | 18 raw measures: [3 in system#1, 4 in system#2, 4 in system#3, 4 in system#4, 3 in system#5]
2026-05-24 03:42:08,464 INFO [Remember#1]       StepMonitoring.java:98   | CHORDS
